iter	Passed	Remaining
421	2285	3131
422	2291	3125
423	2296	3119
424	2301	3114
425	2307	3108
426	2312	3103
427	2318	3098
428	2324	3093
429	2329	3088
430	2335	3082
431	2341	3078
432	2347	3073
433	2352	3068
434	2358	3063
435	2363	3057
436	2369	3052
437	2374	3047
438	2380	3042
439	2386	3037
440	2392	3032
441	2398	3027
442	2402	3021
443	2409	3016
444	2414	3011
445	2420	3006
446	2426	3001
447	2431	2996
448	2437	2991
449	2443	2986
450	2448	2980
451	2454	2975
452	2459	2970
453	2465	2965
454	2470	2959
455	2476	2954
456	2481	2949
457	2487	2943
458	2493	2938
459	2498	2933
460	2504	2928
461	2510	2923
462	2515	2917
463	2521	2913
464	2526	2907
465	2532	2902
466	2538	2897
467	2544	2892
468	2549	2886
469	2555	2881
470	2561	2876
471	2566	2871
472	2571	2865
473	2576	2859
474	2581	2853
475	2587	2848
476	2592	2842
477	2597	2836
478	2603	2831
479	2608	2825
480	2613	2819
481	2618	2814
482	2623	2808
483	2628	2802
484	2633	2796
485	2639	2791
486	2644	2785
487	2649	2779
488	2655	2774
489	2660	2768
490	2665	2763
491	2671	2758
492	2676	2752
493	2681	2746
494	2687	2741
495	2692	2736
496	2697	2730
497	2703	2725
498	2708	2719
499	2713	2713
500	2718	2707
501	2723	2701
502	2728	2695
503	2734	2690
504	2739	2685
505	2744	2679
506	2750	2674
507	2755	2668
508	2760	2662
509	2765	2656
510	2771	2651
511	2776	2646
512	2781	2640
513	2787	2635
514	2792	2629
515	2797	2624
516	2802	2618
517	2808	2612
518	2812	2606
519	2818	2601
520	2823	2596
521	2828	2590
522	2834	2585
523	2839	2579
524	2844	2573
525	2850	2568
526	2856	2563
527	2861	2557
528	2867	2552
529	2872	2546
530	2877	2541
531	2882	2535
532	2887	2530
533	2893	2524
534	2898	2519
535	2903	2513
536	2909	2508
537	2914	2502
538	2918	2496
539	2923	2490
540	2928	2484
541	2934	2479
542	2939	2473
543	2944	2468
544	2949	2462
545	2955	2457
546	2959	2450
547	2965	2445
548	2970	2440
549	2975	2434
