iter	MultiClass
0	1.141597848
1	0.9703192948
2	0.8401092785
3	0.7396114743
4	0.6576630582
5	0.5893161384
6	0.5297776295
7	0.4795161365
8	0.4362495436
9	0.3980990469
10	0.3659129909
11	0.336078326
12	0.3107792026
13	0.2875313685
14	0.2670477049
15	0.2488947248
16	0.2323349425
17	0.2183881215
18	0.2049094638
19	0.192752381
20	0.1824809881
21	0.1724951349
22	0.164049114
23	0.1565732319
24	0.1498472667
25	0.1433127711
26	0.1376543862
27	0.1321140482
28	0.1270936817
29	0.1229820862
30	0.1195739716
31	0.1156160513
32	0.1126445144
33	0.1096214818
34	0.1065686861
35	0.103756164
36	0.1012701809
37	0.09904818304
38	0.09691759427
39	0.09568986743
40	0.0941772192
41	0.09264953205
42	0.09093534069
43	0.08967194907
44	0.08848167552
45	0.0877090634
46	0.0868541176
47	0.08578788986
48	0.08476386661
49	0.08391489345
50	0.08297582846
51	0.08193270202
52	0.08118117976
53	0.08022781192
54	0.07958429183
55	0.07892856687
56	0.07834388985
57	0.07765386039
58	0.07704566034
59	0.07650944826
60	0.07600978482
61	0.07551074641
62	0.07529347859
63	0.07492506959
64	0.07451393264
65	0.0739548913
66	0.07355724304
67	0.07331284269
68	0.07297144944
69	0.07272032042
70	0.07231442186
71	0.07194562755
72	0.07164659667
73	0.07126903137
74	0.07093516832
75	0.07033443779
76	0.07002750315
77	0.069729992
78	0.06941573933
79	0.0690672963
80	0.06876388968
81	0.06842864891
82	0.06805337509
83	0.06760445768
84	0.06744612804
85	0.06723340046
86	0.06701923697
87	0.06690634644
88	0.066721217
89	0.06644130704
90	0.06629651673
91	0.06608363503
92	0.06571860557
93	0.06554410264
94	0.06522732979
95	0.0648142456
96	0.06466553654
97	0.06454436923
98	0.06440470526
99	0.06421920001
100	0.0639548604
101	0.06367098185
102	0.06338327251
103	0.06311659434
104	0.06293659443
105	0.06271132882
106	0.06260129352
107	0.06234943194
108	0.06216906681
109	0.06203916041
110	0.06186787375
111	0.06161939427
112	0.06131546907
113	0.06119530292
114	0.06103462833
115	0.06087561991
116	0.06070686882
117	0.06050847074
118	0.06030900917
119	0.06007715043
120	0.05997579425
121	0.05984279392
122	0.05965448917
123	0.05951734824
124	0.05934885429
125	0.05915910513
126	0.05901002076
127	0.05893456976
128	0.05877181725
129	0.05869393215
130	0.05838924104
131	0.05826903
132	0.05816311201
133	0.05799845992
134	0.05789546438
135	0.05781190457
136	0.05766842848
137	0.05754900884
138	0.05734839795
139	0.05721209643
140	0.05711638433
141	0.05689217843
142	0.05669886482
143	0.05663005351
144	0.05654623861
145	0.05637553777
146	0.0562670868
147	0.05615380327
148	0.05606132725
149	0.0559795082
150	0.05583678997
151	0.05576045441
152	0.05567238017
153	0.0555877315
154	0.05547968428
155	0.05529343054
156	0.0552389858
157	0.05509530845
158	0.05495742689
159	0.05481324075
160	0.05469318386
161	0.0545729572
162	0.05447603908
163	0.05436024247
164	0.05422960161
165	0.05415668994
166	0.05392930582
167	0.05388037606
168	0.05381840991
169	0.05369942498
170	0.05351614417
171	0.05341928319
172	0.053343319
173	0.05328450384
174	0.05316042537
175	0.05311283087
176	0.05296539375
177	0.05289019602
178	0.05273220873
179	0.05261297687
180	0.05257560508
181	0.05250528484
182	0.05239426608
183	0.05234766895
184	0.05221592869
185	0.05214961829
186	0.0520165941
187	0.05190073377
188	0.05180660673
189	0.05174878854
190	0.05169434857
191	0.05163676822
192	0.0515817048
193	0.05142011778
194	0.05131429951
195	0.05125112592
196	0.05112600787
197	0.05106614883
198	0.05091482059
199	0.05081536089
200	0.05070128482
201	0.05060078114
202	0.05055958256
203	0.05042844411
204	0.05037577778
205	0.0503483154
206	0.0502067418
207	0.05013799757
208	0.05002538848
209	0.04994669337
210	0.04987053705
211	0.04983643957
212	0.0497536251
213	0.0496876851
214	0.04960803778
215	0.04949959091
216	0.0493761832
217	0.04932048292
218	0.04925563736
219	0.04918612281
220	0.04909206841
221	0.04904043822
222	0.04896503369
223	0.04891987494
224	0.048840963
225	0.0487445887
226	0.04866636765
227	0.04864233356
228	0.04856539473
229	0.04851442157
230	0.04842463696
231	0.04838100769
232	0.04832749717
233	0.0482713714
234	0.04818750298
235	0.04809680951
236	0.04802720076
237	0.04798981301
238	0.04793486192
239	0.04789191655
240	0.04786612717
241	0.04769021242
242	0.04764434605
243	0.04754987978
244	0.04745328879
245	0.04736240883
246	0.04724560493
247	0.04718460227
248	0.04712584454
249	0.04705417059
250	0.04700930342
251	0.04691718804
252	0.04684472593
253	0.04679700415
254	0.04670671479
255	0.04663864541
256	0.04658244944
257	0.04646935727
258	0.04642433629
259	0.04635666947
260	0.04632890804
261	0.04622221055
262	0.04611877351
263	0.04607009531
264	0.0459941273
265	0.04587426913
266	0.04582005473
267	0.04575253211
268	0.04561844239
269	0.04551285168
270	0.04539402177
271	0.04531791895
272	0.04529632448
273	0.04526394433
274	0.04514003841
275	0.04506914622
276	0.04502342018
277	0.04499292056
278	0.04486488241
279	0.04480003717
280	0.04474307252
281	0.04469611144
282	0.04461711892
283	0.04457589117
284	0.04447816717
285	0.04444936971
286	0.04437993933
287	0.04436155034
288	0.0443282495
289	0.04428768204
290	0.04423051575
291	0.0441672272
292	0.04414739527
293	0.04401596467
294	0.043988544
295	0.04394734916
296	0.04390943973
297	0.04384581025
298	0.0437709992
299	0.04373281103
300	0.04367092894
301	0.04361791206
302	0.04353602921
303	0.04348764102
304	0.04342652763
305	0.043357131
306	0.04325254968
307	0.04316444222
308	0.04299431162
309	0.04294450779
310	0.04288636404
311	0.04285043524
312	0.04279404594
313	0.0427263171
314	0.04268080534
315	0.04262279813
316	0.04259872976
